timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,alerts
1779521904.201,81.0,91.0,32.0,optimal,optimal,optimal,—,—,—,EXCELLENT,NONE
1779521905.201,82.6,91.1,31.9,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521906.2,79.3,89.1,32.3,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521907.201,80.8,90.5,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521908.203,79.3,90.5,31.9,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521909.204,83.0,89.3,32.1,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521910.205,78.8,91.1,32.3,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521911.206,80.6,90.7,32.0,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521912.207,81.6,89.1,32.1,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521913.208,79.6,89.6,31.9,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521914.209,80.2,90.6,31.8,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521915.21,77.4,90.1,31.7,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521916.211,78.1,89.0,32.1,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521917.212,78.8,89.2,32.3,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521918.213,79.7,89.9,31.8,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521919.214,80.8,91.1,32.0,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521920.216,82.5,90.7,32.2,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521921.218,79.5,89.6,31.8,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521922.219,78.0,89.9,31.6,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521923.22,80.1,89.5,31.7,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521924.22,81.4,90.2,32.2,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521925.221,78.9,89.3,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521926.222,80.2,89.3,31.7,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521927.221,81.3,90.5,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521928.222,79.4,90.3,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521929.223,80.9,90.5,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521930.224,77.8,90.1,31.9,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521931.225,77.4,91.1,31.7,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521932.226,78.5,89.9,32.1,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521933.227,77.6,90.3,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521934.227,82.4,89.4,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521935.228,81.7,90.7,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521936.229,78.1,90.8,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521937.229,81.9,89.5,31.7,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521938.23,81.9,91.4,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521939.23,80.6,89.2,32.1,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521940.231,81.2,88.6,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521941.231,82.7,90.9,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521942.232,77.2,90.9,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521943.233,80.2,90.9,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521944.234,82.3,90.3,32.2,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521945.235,82.2,89.1,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521946.236,79.0,90.0,31.8,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521947.237,81.4,89.3,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521948.238,79.4,89.2,31.9,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779521949.238,82.7,90.7,32.1,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521950.239,81.3,88.9,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521951.239,82.0,90.5,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521952.24,80.5,88.5,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521953.241,82.5,90.9,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779521954.241,78.6,89.6,32.0,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,EXCELLENT,NONE
1779521955.242,80.3,90.4,32.4,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521956.243,78.1,90.2,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521957.244,79.5,91.1,32.4,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521958.245,81.8,89.9,32.0,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521959.246,80.6,88.6,32.1,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521960.247,79.7,90.2,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521961.248,77.7,90.6,31.8,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521962.249,78.4,91.5,32.1,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,EXCELLENT,NONE
1779521963.248,80.7,90.2,32.1,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521964.249,82.9,89.5,32.1,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,EXCELLENT,NONE
1779521965.25,80.7,88.7,31.7,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521966.25,78.3,90.6,32.2,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521967.25,79.0,90.2,32.1,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521968.251,78.5,89.3,31.6,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521969.251,79.4,90.6,31.7,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521970.252,79.7,88.9,32.2,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779521971.253,82.8,90.0,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779521972.254,81.8,91.4,31.9,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
