timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1779630009.713,79.2,89.8,31.8,optimal,optimal,optimal,—,—,—,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779630010.713,80.3,90.7,32.1,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630011.713,78.1,91.0,32.2,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779630012.714,81.8,91.0,32.1,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630013.715,79.4,90.1,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779630014.717,79.8,88.6,32.2,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779630015.717,77.9,91.3,32.3,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630016.719,80.8,90.7,32.4,optimal,optimal,optimal,↑ increasing,↑ increasing,↑ increasing,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630017.719,79.7,88.8,32.0,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630018.72,80.6,88.6,32.0,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779630019.722,80.9,89.7,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.2,✅ EXCELLENT,False,NONE,3.8,0,NONE
1779630020.722,81.1,88.6,32.4,optimal,optimal,optimal,↑ increasing,↓ decreasing,↑ increasing,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630021.723,82.0,89.2,31.7,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.1,✅ EXCELLENT,False,NONE,3.9,0,NONE
1779630022.724,79.7,90.3,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779630023.726,80.6,90.8,32.3,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779630024.726,81.0,90.0,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779630025.727,80.4,91.2,32.4,optimal,optimal,optimal,↑ increasing,↑ increasing,↑ increasing,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630026.729,78.2,91.0,32.3,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630027.731,77.9,88.6,32.3,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630028.731,81.8,88.9,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779630029.733,77.4,91.3,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779630030.734,77.6,91.0,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630031.734,81.7,91.2,32.2,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630032.735,81.6,88.9,32.0,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779630033.737,77.3,90.0,32.0,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630034.739,81.8,91.2,31.8,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779630035.74,80.1,88.9,32.0,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630036.741,81.3,91.0,32.4,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630037.742,78.5,89.8,31.7,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779630038.744,78.1,90.0,32.4,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,97.1,✅ EXCELLENT,False,NONE,2.9,0,NONE
1779630039.746,77.5,91.1,31.7,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779630040.746,78.9,91.2,32.0,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630041.748,82.3,90.4,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779630042.749,82.1,89.4,31.9,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779630043.75,81.4,90.6,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
