timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,engine_rpm,oil_pressure_psi,battery_voltage_v,tire_pressure_fl_psi,tire_pressure_fr_psi,tire_pressure_rl_psi,tire_pressure_rr_psi,speed_status,temp_status,psi_status,rpm_status,oil_status,battery_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1780110115.598,80.7,90.3,31.9,1476.0,44.4,13.76,32.4,31.8,32.3,31.6,optimal,optimal,optimal,optimal,optimal,optimal,—,—,—,100.0,✅ EXCELLENT,False,NONE,3.9,0.0,NONE
1780110116.599,81.8,89.5,32.1,1496.0,44.2,13.76,32.1,32.0,32.2,32.2,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.5,0.1,NONE
1780110117.599,80.7,90.1,32.3,1483.0,45.2,13.81,32.0,32.3,32.3,32.0,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.5,0.0,NONE
1780110118.6,80.0,90.7,32.1,1532.0,44.6,13.82,31.8,31.7,32.3,31.9,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.8,0.0,NONE
1780110119.601,79.5,91.4,32.1,1506.0,44.4,13.82,32.4,31.6,32.2,31.8,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.9,0.0,NONE
1780110120.601,81.6,89.9,31.6,1499.0,44.8,13.78,32.1,32.0,31.8,31.8,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,4.0,0.0,NONE
1780110121.601,78.1,88.7,32.0,1539.0,45.4,13.75,31.7,32.0,31.8,32.4,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.7,0.8,NONE
1780110122.602,78.9,90.0,32.3,1514.0,45.4,13.83,32.1,31.9,31.9,32.3,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.5,0.0,NONE
1780110123.603,81.1,90.8,32.1,1487.0,46.0,13.84,32.3,32.3,32.1,32.3,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.4,0.0,NONE
1780110124.603,80.1,91.5,32.2,1514.0,44.1,13.81,31.8,32.0,32.0,31.7,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.8,0.0,NONE
1780110125.604,82.6,89.1,32.2,1452.0,45.3,13.75,31.7,32.3,31.8,32.3,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.9,0.4,NONE
1780110126.605,80.6,90.9,31.8,1464.0,45.9,13.76,32.0,0.0,31.6,32.0,optimal,optimal,danger,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,66.5,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.0,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110127.605,82.3,91.4,31.6,1482.0,46.0,13.77,32.1,0.3,31.9,32.3,optimal,optimal,danger,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,33.2,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.0,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110128.605,78.4,91.1,32.4,1523.0,45.2,13.83,31.8,0.2,31.6,32.1,optimal,optimal,danger,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.0,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110129.606,78.9,88.5,31.6,1488.0,44.7,13.79,31.9,-0.1,32.4,31.9,optimal,optimal,danger,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,1.1,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110130.607,77.4,89.1,32.3,1472.0,44.9,13.83,32.0,-0.3,32.0,31.7,optimal,optimal,danger,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.4,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110131.607,77.7,89.3,32.1,1517.0,45.8,13.79,31.9,-0.1,31.9,31.8,optimal,optimal,danger,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.2,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110132.607,83.0,90.9,32.0,1467.0,45.6,13.77,32.2,-0.1,31.8,32.1,optimal,optimal,danger,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.0,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110133.607,81.9,89.3,32.0,1487.0,45.8,13.83,31.7,0.1,31.8,31.7,optimal,optimal,danger,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.2,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
1780110134.608,82.0,89.3,32.0,1487.0,44.7,13.78,31.8,-0.1,31.9,31.8,optimal,optimal,danger,optimal,optimal,optimal,→ stable,→ stable,→ stable,0.0,🚨 EMERGENCY,True,TIRE_FLAT_OR_SENSOR_FAILURE,100.0,0.2,🛞 CRITICAL: Tire flat or pressure sensor failure|🛞 CRITICAL_PRESSURE: Tire flat or severely under-inflated|🚨 TIRE_SPEED_MISMATCH: Tire pressure unsafe for current speed
