speed,rpm,throttle,engine_load,maf,engine_temp,oil_pressure,battery_voltage,fuel_level,tp_fl,tp_fr,tp_rl,tp_rr,prediction,anomaly_score,is_anomaly
119.8,3753.0,58.4,79.0,53.9,91.1,41.9,13.9,85.1,31.6,31.6,31.7,32.4,-1,-0.6643355142310955,True
6.2,1049.0,3.3,12.6,6.8,90.7,41.6,13.9,85.1,31.9,31.6,32.4,31.6,-1,-0.6625328956961204,True
5.8,1087.0,2.8,10.7,5.3,91.3,43.5,13.99,85.1,32.3,32.4,32.4,32.2,-1,-0.6555594186446094,True
121.8,3697.0,59.8,81.2,55.5,88.5,43.2,13.99,85.1,31.8,31.7,31.8,32.4,-1,-0.6555472625482643,True
124.6,3733.0,60.4,82.0,58.5,88.9,41.6,13.91,84.9,32.0,31.6,31.7,32.3,-1,-0.6552697547662316,True
5.8,1017.0,2.9,12.9,7.2,91.5,43.5,13.99,84.9,32.3,31.6,32.4,32.4,-1,-0.6548670596635578,True
124.6,3784.0,60.3,81.7,57.4,89.3,41.6,13.99,84.9,31.6,32.3,31.7,32.2,-1,-0.6518493886815504,True
117.3,3724.0,56.1,74.3,55.1,91.3,43.5,13.97,84.9,31.7,31.6,32.4,32.2,-1,-0.6511936740139033,True
120.5,3735.0,59.4,81.2,56.9,91.2,43.4,13.9,84.9,32.3,31.8,31.7,32.2,-1,-0.6505627435297906,True
124.7,3791.0,60.6,81.8,56.6,90.9,43.1,13.98,85.1,31.7,31.6,31.9,31.6,-1,-0.6503943992314788,True
121.2,3756.0,59.3,81.3,57.2,89.1,43.2,13.99,85.0,32.4,31.6,31.6,32.3,-1,-0.6501839359472192,True
124.8,3739.0,61.4,79.0,58.9,91.5,42.1,13.9,85.1,32.1,31.8,32.4,32.0,-1,-0.6499963199625275,True
122.7,3725.0,60.2,80.9,59.3,91.4,43.1,13.99,85.1,31.6,31.8,31.8,31.9,-1,-0.6498494337447412,True
126.8,3770.0,61.4,80.9,58.8,91.3,41.7,13.94,85.1,31.8,31.6,31.9,31.6,-1,-0.649224772742788,True
3.4,1021.0,3.3,13.6,6.8,88.5,43.5,13.92,84.9,31.6,31.6,32.3,32.3,-1,-0.6489982040662775,True
120.8,3732.0,59.5,78.0,56.4,89.7,43.5,13.99,84.9,31.7,32.4,31.7,31.7,-1,-0.6469013114721351,True
16.4,1048.0,1.8,4.6,8.4,88.7,41.6,13.91,84.9,31.9,31.6,32.4,31.6,-1,-0.6460111945970061,True
119.6,3743.0,57.6,75.8,56.0,91.4,41.6,13.91,85.0,32.4,32.3,32.4,32.3,-1,-0.6458206721821192,True
121.4,3784.0,59.3,79.5,58.1,91.0,43.3,13.9,85.1,32.3,31.7,32.2,32.3,-1,-0.6456233561096022,True
119.8,3717.0,58.3,80.0,54.9,88.9,42.2,13.96,84.9,31.6,31.6,32.3,32.3,-1,-0.6453793442604523,True
121.4,3768.0,60.8,79.4,56.0,90.7,43.5,13.99,85.1,31.9,31.7,32.4,31.7,-1,-0.6446921566491941,True
124.2,3769.0,60.6,80.5,58.0,90.9,43.3,13.94,85.1,31.7,32.4,32.3,31.7,-1,-0.6445387314211256,True
122.6,3767.0,61.2,79.9,57.9,91.1,43.4,13.96,85.1,31.6,32.3,31.6,32.3,-1,-0.644325336162871,True
122.0,3743.0,60.5,79.4,55.0,89.2,41.6,13.93,84.9,31.7,31.6,31.7,32.3,-1,-0.6442912956397779,True
120.8,3743.0,58.2,76.3,54.2,91.4,41.7,13.99,85.1,32.3,32.3,31.9,32.4,-1,-0.644095209093363,True
12.5,1172.0,2.8,8.5,10.4,90.4,41.6,13.93,85.1,32.2,32.4,32.4,32.4,-1,-0.6434838144597554,True
126.5,3709.0,60.6,80.9,56.0,91.4,41.6,13.98,85.1,31.6,32.2,32.2,32.2,-1,-0.643465112478876,True
123.1,3697.0,59.3,81.3,57.0,91.0,42.4,13.99,84.9,31.6,32.0,32.4,32.4,-1,-0.6430752129962053,True
124.1,3754.0,59.7,79.0,56.4,91.1,42.9,13.9,85.1,31.7,31.7,31.7,32.2,-1,-0.6429592992161351,True
110.5,3705.0,54.3,73.3,52.5,88.9,41.9,13.94,85.1,31.8,32.4,32.4,32.4,-1,-0.6424473215412044,True
117.1,3751.0,57.3,79.2,55.2,89.0,43.5,13.9,84.9,31.6,31.7,32.4,31.8,-1,-0.6421470189910266,True
125.7,3703.0,60.7,81.8,57.2,89.5,43.5,13.99,84.9,32.3,31.6,31.9,31.6,-1,-0.6420679206104565,True
125.9,3733.0,61.0,82.5,55.8,91.4,43.5,13.99,85.0,31.9,32.4,31.6,31.7,-1,-0.6412468944377342,True
122.1,3739.0,59.2,79.9,55.4,90.8,42.6,13.93,85.1,32.4,31.6,32.4,31.7,-1,-0.6411632682855025,True
120.1,3703.0,57.0,75.5,52.4,91.2,42.0,13.96,85.1,31.7,31.9,32.4,32.4,-1,-0.6409028921412486,True
124.4,3734.0,59.2,77.2,55.6,90.7,42.2,13.93,85.1,32.3,31.9,31.7,32.4,-1,-0.6405596617211384,True
124.4,3747.0,61.6,80.8,56.1,89.7,42.7,13.99,85.1,32.3,32.1,31.7,31.7,-1,-0.6403002470960056,True
120.9,3750.0,59.3,78.3,56.1,88.5,41.8,13.99,84.9,31.8,32.1,31.8,32.4,-1,-0.64018079300854,True
